NEW_COMPARISON,Indo-European,king of gods,eagle association,lustful/seducer,cognates,fight serpent/ dragon monster,storm god powers,thunderbolt weapon,fight giants,fought/overthrew father,shape shifter,mountaintop home
JUPITER (Roman),PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT
THOR / THUNAR (Norse),PERFECT,PARTIAL,NONE,NONE,NONE,PERFECT,PERFECT,PARTIAL,PERFECT,NONE,NONE,NONE
TARANIS (Celtic),PERFECT,PERFECT,PARTIAL,NONE,NONE,NONE,PERFECT,NONE,NONE,NONE,NONE,NONE
ZOZJZ (Albanian),PERFECT,PERFECT,PERFECT,NONE,PERFECT,NONE,PERFECT,PERFECT,NONE,NONE,NONE,PARTIAL
SOSRUQUO/ BATRAZ/ SHYBLE* (Nart),PARTIAL,NONE, PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PERFECT,PARTIAL,PARTIAL,NONE
BAAL/ BAAL-HADAD (Canaanite),NONE,PERFECT,NONE,NONE,NONE,PERFECT,PERFECT,PERFECT,NONE,NONE,NONE,PARTIAL
INDRA (Vedic),PERFECT,PERFECT,PERFECT,PARTIAL,NONE,PERFECT,PERFECT,PERFECT,PERFECT,PARTIAL,PERFECT,PARTIAL
TARHUNNA (Hittite),PERFECT,NONE,NONE,NONE,NONE,PERFECT,PERFECT,PERFECT,NONE,NONE,NONE,NONE
PERUN / PERKUNAS (Balto-Slavic),PERFECT,PARTIAL,PERFECT,NONE,NONE,PARTIAL,PERFECT,NONE,NONE,NONE,NONE,PERFECT
ZIS BASTAS (Messapic),PERFECT,NONE,PARTIAL,NONE,PERFECT,NONE,PERFECT,NONE,NONE,NONE,NONE,NONE
PAPAIOS (Scythian),PERFECT,PERFECT,NONE,NONE,PARTIAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RA/ AMUN-RA (Egyptian),NONE,PERFECT,NONE,NONE,NONE,PARTIAL,NONE,NONE,NONE,NONE,NONE,NONE
NEW_COMPARISON,Indo-European,king of gods,eagle association,lustful/seducer,cognates,fight serpent/ dragon monster,storm god powers,thunderbolt weapon,fight giants,fought/overthrew father,shape shifter,mountaintop home
JUPITER (Roman),PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT,PERFECT
THOR / THUNAR (Norse),PERFECT,PARTIAL,NONE,NONE,NONE,PERFECT,PERFECT,PARTIAL,PERFECT,NONE,NONE,NONE
TARANIS (Celtic),PERFECT,PERFECT,PARTIAL,NONE,NONE,NONE,PERFECT,NONE,NONE,NONE,NONE,NONE
ZOZJZ (Albanian),PERFECT,PERFECT,PERFECT,NONE,PERFECT,NONE,PERFECT,PERFECT,NONE,NONE,NONE,PARTIAL